,gene,int
937,YGR253C,938
938,YNL331C,939
939,YPR055W,940
940,YER159C,941
941,YNL127W,942
942,YDL153C,943
943,YLR054C,944
944,YBL082C,945
945,YDR101C,946
946,YNL019C,947
947,YCR014C,948
948,YOR341W,949
949,YBR297W,950
950,YDR318W,951
951,YBR080C,952
952,YPR191W,953
953,YDR134C,954
954,YMR075W,955
955,YBR133C,956
956,YIL016W,957
957,YGR015C,958
958,YOR164C,959
959,YJL102W,960
960,YOR125C,961
961,YNL336W,962
962,YDR316W,963
963,YCL008C,964
964,YDL162C,965
965,YLR087C,966
966,YPR173C,967
967,YIR006C,968
968,YLR342W,969
969,YPR162C,970
970,YGR009C,971
971,YJL180C,972
972,YGR096W,973
973,YJL214W,974
974,YOR036W,975
975,YFR008W,976
976,YER077C,977
977,YDL248W,978
978,YOR019W,979
979,YMR181C,980
980,YKR068C,981
981,YBR100W,982
982,YNL195C,983
983,YDR260C,984
984,YJL047C-A,985
985,YNR065C,986
986,YBR231C,987
987,YJR064W,988
988,YOR370C,989
989,YHR175W,990
990,YLR393W,991
991,YGR168C,992
992,YDL050C,993
993,YOL104C,994
994,YBL008W-A,995
995,YBL097W,996
996,YDR434W,997
997,YHR167W,998
998,YDR378C,999
999,YEL047C,1000
1000,YKR045C,1001
1001,YDL143W,1002
1002,YGR169C,1003
1003,YMR247W-A,1004
1004,YKR029C,1005
1005,YMR325W,1006
1006,YDR425W,1007
1007,YPL047W,1008
1008,YOR025W,1009
1009,YER060W-A,1010
1010,YHL025W,1011
1011,YLR159C-A,1012
1012,YOL166W-A,1013
1013,YOR069W,1014
1014,YER166W,1015
1015,YLR068W,1016
1016,YAL002W,1017
1017,YBR052C,1018
1018,YOR205C,1019
1019,YFR005C,1020
1020,YKL018C-A,1021
1021,YNL274C,1022
1022,YPR103W,1023
1023,YDR397C,1024
1024,YLR467W,1025
1025,YJR017C,1026
1026,YBL113C,1027
1027,YPR028W,1028
1028,YBR250W,1029
1029,YLR398C,1030
1030,YDR265W,1031
1031,YGL020C,1032
1032,YLR157C,1033
1033,YLR447C,1034
1034,YLR185W,1035
1035,YDR343C,1036
1036,YOR039W,1037
1037,YER016W,1038
1038,YGL006W,1039
1039,YJL126W,1040
1040,YDR486C,1041
1041,YDR489W,1042
1042,YJR047C,1043
1043,YGL237C,1044
1044,YFR019W,1045
1045,YMR052C-A,1046
1046,YNL039W,1047
1047,YPL043W,1048
1048,YBL060W,1049
1049,YFL031W,1050
1050,YOR262W,1051
1051,YNR049C,1052
1052,YOL159C-A,1053
1053,YOR027W,1054
1054,YNL257C,1055
1055,YMR290C,1056
1056,YHR191C,1057
1057,YPL183W-A,1058
1058,YPL045W,1059
1059,YGR145W,1060
1060,YJL047C,1061
1061,YHR196W,1062
1062,YMR230W-A,1063
1063,YLR006C,1064
1064,YNL105W,1065
1065,YBR099C,1066
1066,YAR035C-A,1067
1067,YBR049C,1068
1068,YGL226C-A,1069
1069,YNL270C,1070
1070,YLR015W,1071
1071,YOL157C,1072
1072,YLR269C,1073
1073,YFR031C-A,1074
1074,YDL218W,1075
1075,YLR201C,1076
1076,YEL031W,1077
1077,YNL097C,1078
1078,YPL060C-A,1079
1079,YLR116W,1080
1080,YOR274W,1081
1081,YER067W,1082
1082,YOR163W,1083
1083,YIR005W,1084
1084,YJL120W,1085
1085,YPL081W,1086
1086,YML034C-A,1087
1087,YER147C,1088
1088,YMR076C,1089
1089,YCR045C,1090
1090,YNL165W,1091
1091,YDR231C,1092
1092,YKL144C,1093
1093,YNL222W,1094
1094,YFR057W,1095
1095,YDR217C,1096
1096,YJR006W,1097
1097,YAR033W,1098
1098,YOL077W-A,1099
1099,YPL096C-A,1100
1100,YPL123C,1101
1101,YOL038W,1102
1102,YMR267W,1103
1103,YMR122W-A,1104
1104,YOR157C,1105
1105,YER136W,1106
1106,YOR045W,1107
1107,YJL127C-B,1108
1108,YDR149C,1109
1109,YFL025C,1110
1110,YJL124C,1111
1111,YGL258W-A,1112
1112,YPL282C,1113
1113,YBL071W-A,1114
1114,YDR482C,1115
1115,YMR268C,1116
1116,YML081W,1117
1117,YDR145W,1118
1118,YCL040W,1119
1119,YLL055W,1120
1120,YBL100W-C,1121
1121,YDL028C,1122
1122,YKL113C,1123
1123,YHL048C-A,1124
1124,YJL174W,1125
1125,YLR261C,1126
1126,YJL194W,1127
1127,YPR152C,1128
1128,YJR010W,1129
1129,YJR156C,1130
1130,YLR200W,1131
1131,YMR200W,1132
1132,YEL077C,1133
1133,YMR322C,1134
1134,YML001W,1135
1135,YJL118W,1136
1136,YOR269W,1137
1137,YGR046W,1138
1138,YAL053W,1139
1139,YBL058W,1140
1140,YMR264W,1141
1141,YNL120C,1142
1142,YPR027C,1143
1143,YKL211C,1144
1144,YOR116C,1145
1145,YGL194C,1146
1146,YJL211C,1147
1147,YMR214W,1148
1148,YCL058W-A,1149
1149,YLR053C,1150
1150,YOR259C,1151
1151,YAL022C,1152
1152,YKL009W,1153
1153,YPL010W,1154
1154,YMR005W,1155
1155,YPL060W,1156
1156,YLR264C-A,1157
1157,YJL144W,1158
1158,YDL100C,1159
1159,YGL169W,1160
1160,YAL067W-A,1161
1161,YPR188C,1162
1162,YBR238C,1163
1163,YGR208W,1164
1164,YHL042W,1165
1165,YDL244W,1166
1166,YDR002W,1167
1167,YDL234C,1168
1168,YML114C,1169
1169,YLR425W,1170
1170,YJL179W,1171
1171,YOR194C,1172
1172,YDR439W,1173
1173,YDL199C,1174
1174,YJL131C,1175
1175,YLR125W,1176
1176,YNL233W,1177
1177,YDR315C,1178
1178,YDL125C,1179
1179,YJL122W,1180
1180,YIR021W,1181
1181,YGR010W,1182
1182,YGR259C,1183
1183,YCL016C,1184
1184,YIR013C,1185
1185,YLL021W,1186
1186,YPL277C,1187
1187,YMR175W-A,1188
1188,YIL034C,1189
1189,YNL118C,1190
1190,YGR158C,1191
1191,YIR031C,1192
1192,YIR041W,1193
1193,YPR164W,1194
1194,YDL065C,1195
1195,YNR020C,1196
1196,YNL294C,1197
1197,YOL005C,1198
1198,YLR347C,1199
1199,YOR135C,1200
1200,YDL105W,1201
1201,YHR063C,1202
1202,YER151C,1203
1203,YPL007C,1204
1204,YLR245C,1205
1205,YMR158W,1206
1206,YJL020C,1207
1207,YOL111C,1208
1208,YBR096W,1209
1209,YJR002W,1210
1210,YER001W,1211
1211,YBL002W,1212
1212,YGL216W,1213
1213,YBR120C,1214
1214,YDR200C,1215
1215,YLR238W,1216
1216,YNL250W,1217
1217,YJR050W,1218
1218,YNR023W,1219
1219,YLR026C,1220
1220,YDR468C,1221
1221,YBL050W,1222
1222,YGR245C,1223
1223,YMR093W,1224
1224,YHR086W,1225
1225,YMR258C,1226
1226,YJL175W,1227
1227,YLR363C,1228
1228,YFL058W,1229
1229,YHR187W,1230
1230,YML121W,1231
1231,YDR111C,1232
1232,YLL009C,1233
1233,YMR064W,1234
1234,YOL077C,1235
1235,YKL224C,1236
1236,YOR391C,1237
1237,YGL171W,1238
1238,YDL119C,1239
1239,YLR170C,1240
1240,YLR289W,1241
1241,YOR183W,1242
1242,YAL011W,1243
1243,YOR031W,1244
1244,YDR065W,1245
1245,YNL159C,1246
1246,YPR062W,1247
1247,YML033W,1248
1248,YPL174C,1249
1249,YDL107W,1250
1250,YNL271C,1251
1251,YLR275W,1252
1252,YBR098W,1253
1253,YDR069C,1254
1254,YPL034W,1255
1255,YDL044C,1256
1256,YBR119W,1257
1257,YNL079C,1258
1258,YKL203C,1259
1259,YDR334W,1260
1260,YHR192W,1261
1261,YKL052C,1262
1262,YEL062W,1263
1263,YHL023C,1264
1264,YML065W,1265
1265,YBL084C,1266
1266,YPL233W,1267
1267,YBR176W,1268
1268,YMR107W,1269
1269,YER083C,1270
1270,YNL107W,1271
1271,YOR327C,1272
1272,YKR043C,1273
1273,YIR018C-A,1274
1274,YNL247W,1275
1275,YAR071W,1276
1276,YML098W,1277
1277,YGR214W,1278
1278,YGR171C,1279
1279,YGL095C,1280
1280,YER116C,1281
1281,YNL289W,1282
1282,YCL029C,1283
1283,YMR211W,1284
1284,YDL144C,1285
1285,YOR159C,1286
1286,YMR098C,1287
1287,YEL065W,1288
1288,YDR363W-A,1289
1289,YMR213W,1290
1290,YPR018W,1291
1291,YBR296C,1292
1292,YDL159W-A,1293
1293,YHR027C,1294
1294,YNL315C,1295
1295,YBR118W,1296
1296,YPR165W,1297
1297,YJR101W,1298
1298,YDR371W,1299
1299,YPL195W,1300
1300,YAL064C-A,1301
1301,YFR036W,1302
1302,YMR226C,1303
1303,YER038C,1304
1304,YDL111C,1305
1305,YBR171W,1306
1306,YDR516C,1307
1307,YBL035C,1308
1308,YAR023C,1309
1309,YDL038C,1310
1310,YOL102C,1311
1311,YLR254C,1312
1312,YJL039C,1313
1313,YCR027C,1314
1314,YGL156W,1315
1315,YKL016C,1316
1316,YDL043C,1317
1317,YML071C,1318
1318,YLR438C-A,1319
1319,YMR175W,1320
1320,YLR204W,1321
